Unnamed: 0,trial_order_number,num_of_classes,noise_type(t),noise_ratio(alpha),noise_proportion_corrected(beta),machine_learning_model(f),dataset_size_proprotion(s),dataset_size,classes_info,accuracy_before_correction(acc_0),accuracy_after_correction(acc_beta),"R(beta, 0)","D(beta, 0)",num_of_corrected_noise,"B/C_ratio_D(beta,0)","B/C_ratio_R(beta,0)","B/C_ratio_D(beta,0)_correctedAmount","B/C_ratio_R(beta,0)_correctedAmount"
1959,5,10,NCAR,0.1,100.0%,cnn,100%,60000.0,10cls,0.8998,0.913,0.1317365269461077,0.0131999999999999,6000.0,0.0131999999999999,0.1317365269461077,2.199999999999983e-06,2.1956087824351284e-05
1960,6,10,NCAR,0.1,10.0%,cnn,100%,60000.0,10cls,0.9052,0.9043,-0.009493670886076,-0.0009,600.0000000000001,-0.009,-0.09493670886076,-1.4999999999999996e-06,-1.5822784810126665e-05
1961,6,10,NCAR,0.1,20.0%,cnn,100%,60000.0,10cls,0.9052,0.9018,-0.0358649789029531,-0.0033999999999999,1200.0000000000002,-0.0169999999999994,-0.1793248945147655,-2.8333333333332496e-06,-2.9887482419127575e-05
1962,6,10,NCAR,0.1,30.0%,cnn,100%,60000.0,10cls,0.9052,0.9073,0.0221518987341771,0.0020999999999999,1800.0,0.0069999999999996,0.073839662447257,1.166666666666611e-06,1.2306610407876169e-05
1963,6,10,NCAR,0.1,40.0%,cnn,100%,60000.0,10cls,0.9052,0.9056,0.0042194092826999,0.0003999999999999,2400.0000000000005,0.0009999999999997,0.0105485232067497,1.66666666666625e-07,1.758087201124958e-06
1964,6,10,NCAR,0.1,50.0%,cnn,100%,60000.0,10cls,0.9052,0.9076,0.025316455696202,0.0023999999999999,3000.0,0.0047999999999998,0.050632911392404,7.999999999999667e-07,8.438818565400668e-06
1965,6,10,NCAR,0.1,60.0%,cnn,100%,60000.0,10cls,0.9052,0.9068,0.0168776371308021,0.0016,3600.0,0.0026666666666666,0.0281293952180035,4.444444444444445e-07,4.688232536333916e-06
1966,6,10,NCAR,0.1,70.0%,cnn,100%,60000.0,10cls,0.9052,0.9116,0.0675105485232063,0.0063999999999999,4200.0,0.0091428571428569,0.0964436407474375,1.5238095238095e-06,1.607394012457293e-05
1967,6,10,NCAR,0.1,80.0%,cnn,100%,60000.0,10cls,0.9052,0.9079,0.0284810126582282,0.0027,4800.000000000001,0.003375,0.0356012658227852,5.624999999999999e-07,5.933544303797541e-06
1968,6,10,NCAR,0.1,90.0%,cnn,100%,60000.0,10cls,0.9052,0.9078,0.0274261603375532,0.0026,5400.000000000001,0.0028888888888888,0.0304735114861702,4.814814814814814e-07,5.078918581028369e-06
1969,6,10,NCAR,0.1,100.0%,cnn,100%,60000.0,10cls,0.9052,0.9112,0.0632911392405063,0.006,6000.0,0.006,0.0632911392405063,1e-06,1.0548523206751053e-05
1970,7,10,NCAR,0.1,10.0%,cnn,100%,60000.0,10cls,0.8971,0.9019,0.0466472303206999,0.0048,600.0000000000001,0.0479999999999999,0.466472303206999,7.999999999999998e-06,7.774538386783316e-05
1971,7,10,NCAR,0.1,20.0%,cnn,100%,60000.0,10cls,0.8971,0.9056,0.0826044703595719,0.0084999999999999,1200.0000000000002,0.0424999999999994,0.4130223517978594,7.083333333333248e-06,6.883705863297657e-05
1972,7,10,NCAR,0.1,30.0%,cnn,100%,60000.0,10cls,0.8971,0.9053,0.0796890184645285,0.0081999999999999,1800.0,0.027333333333333,0.2656300615484283,4.5555555555555e-06,4.4271676924738055e-05
1973,7,10,NCAR,0.1,40.0%,cnn,100%,60000.0,10cls,0.8971,0.9035,0.0621963070942659,0.0063999999999999,2400.0000000000005,0.0159999999999997,0.1554907677356647,2.6666666666666245e-06,2.591512795594412e-05
1974,7,10,NCAR,0.1,50.0%,cnn,100%,60000.0,10cls,0.8971,0.9035,0.0621963070942659,0.0063999999999999,3000.0,0.0127999999999998,0.1243926141885318,2.1333333333333e-06,2.07321023647553e-05
1975,7,10,NCAR,0.1,60.0%,cnn,100%,60000.0,10cls,0.8971,0.9101,0.1263362487852285,0.013,3600.0,0.0216666666666666,0.2105604146420475,3.611111111111111e-06,3.509340244034125e-05
1976,7,10,NCAR,0.1,70.0%,cnn,100%,60000.0,10cls,0.8971,0.9098,0.123420796890185,0.0127,4200.0,0.0181428571428571,0.1763154241288357,3.023809523809524e-06,2.9385904021472618e-05
1977,7,10,NCAR,0.1,80.0%,cnn,100%,60000.0,10cls,0.8971,0.909,0.1156462585034015,0.0119,4800.000000000001,0.014875,0.1445578231292518,2.4791666666666665e-06,2.4092970521541976e-05
1978,7,10,NCAR,0.1,90.0%,cnn,100%,60000.0,10cls,0.8971,0.9142,0.1661807580174927,0.0171,5400.000000000001,0.019,0.184645286686103,3.1666666666666663e-06,3.0774214447683834e-05
1979,7,10,NCAR,0.1,100.0%,cnn,100%,60000.0,10cls,0.8971,0.9159,0.1827016520894075,0.0188,6000.0,0.0188,0.1827016520894075,3.133333333333333e-06,3.0450275348234585e-05
1980,8,10,NCAR,0.1,10.0%,cnn,100%,60000.0,10cls,0.9001,0.9023,0.0220220220220218,0.0021999999999999,600.0000000000001,0.021999999999999,0.2202202202202179,3.6666666666664993e-06,3.670337003670299e-05
1981,8,10,NCAR,0.1,20.0%,cnn,100%,60000.0,10cls,0.9001,0.9014,0.0130130130130126,0.0012999999999999,1200.0000000000002,0.0064999999999994,0.065065065065063,1.0833333333332498e-06,1.0844177510843831e-05
1982,8,10,NCAR,0.1,30.0%,cnn,100%,60000.0,10cls,0.9001,0.9037,0.0360360360360354,0.0035999999999999,1800.0,0.0119999999999996,0.120120120120118,1.9999999999999444e-06,2.0020020020019664e-05
1983,8,10,NCAR,0.1,40.0%,cnn,100%,60000.0,10cls,0.9001,0.8989,-0.0120120120120118,-0.0011999999999999,2400.0000000000005,-0.0029999999999997,-0.0300300300300295,-4.999999999999583e-07,-5.005005005004916e-06
1984,8,10,NCAR,0.1,50.0%,cnn,100%,60000.0,10cls,0.9001,0.9077,0.0760760760760754,0.0075999999999999,3000.0,0.0151999999999998,0.1521521521521508,2.5333333333333e-06,2.535869202535847e-05
1985,8,10,NCAR,0.1,60.0%,cnn,100%,60000.0,10cls,0.9001,0.903,0.0290290290290291,0.0029,3600.0,0.0048333333333333,0.0483817150483818,8.055555555555555e-07,8.063619174730306e-06
1986,8,10,NCAR,0.1,70.0%,cnn,100%,60000.0,10cls,0.9001,0.9089,0.0880880880880883,0.0088,4200.0,0.0125714285714285,0.1258401258401261,2.0952380952380955e-06,2.0973354306687688e-05
1987,8,10,NCAR,0.1,80.0%,cnn,100%,60000.0,10cls,0.9001,0.9084,0.0830830830830828,0.0082999999999999,4800.000000000001,0.0103749999999998,0.1038538538538535,1.729166666666645e-06,1.7308975642308914e-05
1988,8,10,NCAR,0.1,90.0%,cnn,100%,60000.0,10cls,0.9001,0.9167,0.1661661661661656,0.0165999999999999,5400.000000000001,0.0184444444444443,0.1846290735179618,3.074074074074055e-06,3.0771512252993625e-05
1989,8,10,NCAR,0.1,100.0%,cnn,100%,60000.0,10cls,0.9001,0.9154,0.1531531531531529,0.0152999999999999,6000.0,0.0152999999999999,0.1531531531531529,2.549999999999983e-06,2.552552552552548e-05
1990,9,10,NCAR,0.1,10.0%,cnn,100%,60000.0,10cls,0.8995,0.9015,0.0199004975124378,0.002,600.0000000000001,0.02,0.1990049751243779,3.333333333333333e-06,3.316749585406299e-05
1991,9,10,NCAR,0.1,20.0%,cnn,100%,60000.0,10cls,0.8995,0.9048,0.052736318407961,0.0053,1200.0000000000002,0.0265,0.263681592039805,4.416666666666666e-06,4.394693200663416e-05
1992,9,10,NCAR,0.1,30.0%,cnn,100%,60000.0,10cls,0.8995,0.9001,0.0059701492537317,0.0006,1800.0,0.002,0.019900497512439,3.333333333333333e-07,3.3167495854065e-06
1993,9,10,NCAR,0.1,40.0%,cnn,100%,60000.0,10cls,0.8995,0.9085,0.0895522388059702,0.009,2400.0000000000005,0.0224999999999999,0.2238805970149255,3.749999999999999e-06,3.731343283582091e-05
1994,9,10,NCAR,0.1,50.0%,cnn,100%,60000.0,10cls,0.8995,0.9029,0.0338308457711449,0.0034,3000.0,0.0068,0.0676616915422898,1.1333333333333332e-06,1.1276948590381634e-05
1995,9,10,NCAR,0.1,60.0%,cnn,100%,60000.0,10cls,0.8995,0.908,0.0845771144278613,0.0085,3600.0,0.0141666666666666,0.1409618573797688,2.361111111111111e-06,2.349364289662814e-05
1996,9,10,NCAR,0.1,70.0%,cnn,100%,60000.0,10cls,0.8995,0.9101,0.1054726368159209,0.0106,4200.0,0.0151428571428571,0.1506751954513155,2.523809523809524e-06,2.511253257521926e-05
1997,9,10,NCAR,0.1,80.0%,cnn,100%,60000.0,10cls,0.8995,0.9074,0.0786069651741295,0.0079,4800.000000000001,0.009875,0.0982587064676618,1.6458333333333332e-06,1.6376451077943644e-05
1998,9,10,NCAR,0.1,90.0%,cnn,100%,60000.0,10cls,0.8995,0.9115,0.1194029850746269,0.012,5400.000000000001,0.0133333333333333,0.1326699834162521,2.222222222222222e-06,2.2111663902708683e-05
1999,9,10,NCAR,0.1,100.0%,cnn,100%,60000.0,10cls,0.8995,0.9179,0.1830845771144286,0.0184,6000.0,0.0184,0.1830845771144286,3.066666666666667e-06,3.0514096185738105e-05
2900,0,10,NCAR,0.15,10.0%,cnn,100%,60000.0,10cls,0.8969,0.9025,0.0543161978661487,0.0055999999999999,900.0,0.055999999999999,0.543161978661487,6.222222222222111e-06,6.0351330962387445e-05
2901,0,10,NCAR,0.15,20.0%,cnn,100%,60000.0,10cls,0.8969,0.9004,0.0339476236663428,0.0034999999999999,1800.0,0.0174999999999995,0.1697381183317139,1.944444444444389e-06,1.8859790925746e-05
2902,0,10,NCAR,0.15,30.0%,cnn,100%,60000.0,10cls,0.8969,0.9036,0.064985451018428,0.0066999999999999,2700.0,0.022333333333333,0.2166181700614266,2.481481481481444e-06,2.406868556238074e-05
2903,0,10,NCAR,0.15,40.0%,cnn,100%,60000.0,10cls,0.8969,0.9024,0.0533462657613962,0.0054999999999999,3600.0,0.0137499999999997,0.1333656644034904,1.52777777777775e-06,1.4818407155943388e-05
2904,0,10,NCAR,0.15,50.0%,cnn,100%,60000.0,10cls,0.8969,0.9062,0.0902036857419978,0.0092999999999999,4500.0,0.0185999999999998,0.1804073714839956,2.0666666666666446e-06,2.0045263498221732e-05
2905,0,10,NCAR,0.15,60.0%,cnn,100%,60000.0,10cls,0.8969,0.9042,0.0708050436469444,0.0072999999999999,5400.0,0.0121666666666665,0.1180084060782406,1.3518518518518334e-06,1.311204511980452e-05
2906,0,10,NCAR,0.15,70.0%,cnn,100%,60000.0,10cls,0.8969,0.9071,0.0989330746847719,0.0101999999999999,6300.000000000001,0.0145714285714284,0.1413329638353884,1.619047619047603e-06,1.570366264837649e-05
2907,0,10,NCAR,0.15,80.0%,cnn,100%,60000.0,10cls,0.8969,0.9067,0.0950533462657606,0.0097999999999999,7200.0,0.0122499999999998,0.1188166828322007,1.3611111111110974e-06,1.3201853648022308e-05
2908,0,10,NCAR,0.15,90.0%,cnn,100%,60000.0,10cls,0.8969,0.9075,0.1028128031037822,0.0105999999999999,8100.000000000001,0.0117777777777776,0.1142364478930913,1.3086419753086291e-06,1.2692938654787924e-05
2909,0,10,NCAR,0.15,100.0%,cnn,100%,60000.0,10cls,0.8969,0.9158,0.1833171677982533,0.0188999999999999,9000.0,0.0188999999999999,0.1833171677982533,2.0999999999999888e-06,2.0368574199805923e-05
2910,1,10,NCAR,0.15,10.0%,cnn,100%,60000.0,10cls,0.8942,0.8991,0.0463137996219283,0.0049,900.0,0.0489999999999999,0.463137996219283,5.444444444444444e-06,5.145977735769811e-05
2911,1,10,NCAR,0.15,20.0%,cnn,100%,60000.0,10cls,0.8942,0.8998,0.0529300567107755,0.0056,1800.0,0.0279999999999999,0.2646502835538775,3.111111111111111e-06,2.9405587061541944e-05
2912,1,10,NCAR,0.15,30.0%,cnn,100%,60000.0,10cls,0.8942,0.8972,0.0283553875236295,0.003,2700.0,0.01,0.0945179584120983,1.111111111111111e-06,1.0501995379122035e-05
2913,1,10,NCAR,0.15,40.0%,cnn,100%,60000.0,10cls,0.8942,0.9045,0.097353497164461,0.0102999999999999,3600.0,0.0257499999999997,0.2433837429111524,2.861111111111083e-06,2.7042638101239165e-05
2914,1,10,NCAR,0.15,50.0%,cnn,100%,60000.0,10cls,0.8942,0.9063,0.1143667296786389,0.0121,4500.0,0.0242,0.2287334593572778,2.688888888888889e-06,2.541482881747531e-05
2915,1,10,NCAR,0.15,60.0%,cnn,100%,60000.0,10cls,0.8942,0.9089,0.1389413988657849,0.0147,5400.0,0.0245,0.2315689981096415,2.722222222222222e-06,2.5729888678849056e-05
2916,1,10,NCAR,0.15,70.0%,cnn,100%,60000.0,10cls,0.8942,0.9096,0.145557655954631,0.0153999999999999,6300.000000000001,0.0219999999999998,0.2079395085066157,2.444444444444428e-06,2.310438983406841e-05
2917,1,10,NCAR,0.15,80.0%,cnn,100%,60000.0,10cls,0.8942,0.9118,0.1663516068052935,0.0176,7200.0,0.022,0.2079395085066168,2.4444444444444447e-06,2.3104389834068544e-05
2918,1,10,NCAR,0.15,90.0%,cnn,100%,60000.0,10cls,0.8942,0.9101,0.1502835538752365,0.0159,8100.000000000001,0.0176666666666666,0.1669817265280405,1.9629629629629627e-06,1.855352516978228e-05
2919,1,10,NCAR,0.15,100.0%,cnn,100%,60000.0,10cls,0.8942,0.9144,0.1909262759924385,0.0201999999999999,9000.0,0.0201999999999999,0.1909262759924385,2.244444444444433e-06,2.12140306658265e-05
2920,2,10,NCAR,0.15,10.0%,cnn,100%,60000.0,10cls,0.8996,0.8977,-0.0189243027888436,-0.0018999999999999,900.0,-0.018999999999999,-0.1892430278884359,-2.111111111111e-06,-2.102700309871511e-05
2921,2,10,NCAR,0.15,20.0%,cnn,100%,60000.0,10cls,0.8996,0.9008,0.0119521912350606,0.0012,1800.0,0.0059999999999999,0.059760956175303,6.666666666666666e-07,6.640106241700334e-06
2922,2,10,NCAR,0.15,30.0%,cnn,100%,60000.0,10cls,0.8996,0.902,0.0239043824701201,0.0024,2700.0,0.008,0.0796812749004003,8.888888888888888e-07,8.853474988933371e-06
2923,2,10,NCAR,0.15,40.0%,cnn,100%,60000.0,10cls,0.8996,0.902,0.0239043824701201,0.0024,3600.0,0.0059999999999999,0.0597609561753002,6.666666666666666e-07,6.640106241700028e-06
2924,2,10,NCAR,0.15,50.0%,cnn,100%,60000.0,10cls,0.8996,0.9016,0.0199203187250996,0.002,4500.0,0.004,0.0398406374501992,4.4444444444444454e-07,4.426737494466578e-06
2925,2,10,NCAR,0.15,60.0%,cnn,100%,60000.0,10cls,0.8996,0.9035,0.0388446215139443,0.0039,5400.0,0.0065,0.0647410358565738,7.222222222222221e-07,7.193448428508204e-06
2926,2,10,NCAR,0.15,70.0%,cnn,100%,60000.0,10cls,0.8996,0.9053,0.0567729083665342,0.0057,6300.000000000001,0.0081428571428571,0.0811041548093345,9.047619047619046e-07,9.01157275659273e-06
2927,2,10,NCAR,0.15,80.0%,cnn,100%,60000.0,10cls,0.8996,0.9097,0.1005976095617529,0.0100999999999999,7200.0,0.0126249999999998,0.1257470119521911,1.402777777777764e-06,1.3971890216910123e-05
